nama,tipe,provinsi,lat,lon,sumber
Aceh Barat,kabupaten,Aceh,4.45,96.1667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Serang,kabupaten,Banten,-6.15,106.05,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Tangerang,kabupaten,Banten,-6.2,106.5,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bengkulu Selatan,kabupaten,Bengkulu,-4.4667,102.9,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bengkulu Tengah,kabupaten,Bengkulu,-3.7333,102.4333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bengkulu Utara,kabupaten,Bengkulu,-3.4333,102.1833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kaur,kabupaten,Bengkulu,-4.75,103.35,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kepahiang,kabupaten,Bengkulu,-3.65,102.5833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Bengkulu,kota,Bengkulu,-3.8004,102.2655,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Lebong,kabupaten,Bengkulu,-3.1833,102.2167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Mukomuko,kabupaten,Bengkulu,-2.5833,101.1167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Rejang Lebong,kabupaten,Bengkulu,-3.4667,102.5333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Seluma,kabupaten,Bengkulu,-4.0833,102.5833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Jakarta,kota,DKI Jakarta,-6.2088,106.8456,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Jakarta Barat,kabupaten,DKI Jakarta,-6.1683,106.7589,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Jakarta Pusat,kabupaten,DKI Jakarta,-6.1865,106.8341,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Jakarta Selatan,kabupaten,DKI Jakarta,-6.2615,106.8106,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Jakarta Timur,kabupaten,DKI Jakarta,-6.225,106.9004,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Jakarta Utara,kabupaten,DKI Jakarta,-6.1384,106.864,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kepulauan Seribu,kabupaten,DKI Jakarta,-5.6122,106.5614,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bantul,kabupaten,Daerah Istimewa Yogyakarta,-7.8833,110.3333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Gunungkidul,kabupaten,Daerah Istimewa Yogyakarta,-7.9667,110.6,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Yogyakarta,kota,Daerah Istimewa Yogyakarta,-7.7956,110.3695,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kulon Progo,kabupaten,Daerah Istimewa Yogyakarta,-7.7667,110.1667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sleman,kabupaten,Daerah Istimewa Yogyakarta,-7.7167,110.35,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Yogyakarta,kota,Daerah Istimewa Yogyakarta,-7.7956,110.3695,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Boalemo Tilamuta,kabupaten,Gorontalo,0.65,122.3333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bone Bolango Suwawa,kabupaten,Gorontalo,0.5333,123.1833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Gorontalo Limboto,kabupaten,Gorontalo,0.6333,122.9833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Gorontalo Utara Kwandang,kabupaten,Gorontalo,0.8333,122.9,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Gorontalo,kota,Gorontalo,0.5435,123.0568,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pohuwato Marisa,kabupaten,Gorontalo,0.45,121.9333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Batanghari,kabupaten,Jambi,-1.75,103.1,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bungo,kabupaten,Jambi,-1.5,102.0,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kerinci,kabupaten,Jambi,-2.0833,101.5,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Jambi,kota,Jambi,-1.6101,103.6131,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Sungai Penuh,kota,Jambi,-2.0667,101.4,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Merangin,kabupaten,Jambi,-2.25,102.2,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Muaro Jambi,kabupaten,Jambi,-1.55,103.8,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sarolangun,kabupaten,Jambi,-2.3,102.65,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Tanjung Jabung Barat,kabupaten,Jambi,-1.1,103.35,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Tanjung Jabung Timur,kabupaten,Jambi,-1.25,103.85,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bandung,kota,Jawa Barat,-6.9175,107.6191,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bandung Barat,kabupaten,Jawa Barat,-6.85,107.5,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bogor,kabupaten,Jawa Barat,-6.595,106.789,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Cianjur,kabupaten,Jawa Barat,-6.82,107.14,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Cirebon,kabupaten,Jawa Barat,-6.72,108.56,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Garut,kabupaten,Jawa Barat,-7.21,107.9,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Bandung,kota,Jawa Barat,-6.9175,107.6191,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Bogor,kota,Jawa Barat,-6.5971,106.7949,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kuningan,kabupaten,Jawa Barat,-6.98,108.48,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pangandaran,kabupaten,Jawa Barat,-7.695,108.655,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sukabumi,kabupaten,Jawa Barat,-6.92,106.93,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Banyumas,kabupaten,Jawa Tengah,-7.5167,109.2833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Jepara,kabupaten,Jawa Tengah,-6.5833,110.6667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Karanganyar,kabupaten,Jawa Tengah,-7.6,110.95,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kebumen,kabupaten,Jawa Tengah,-7.6667,109.65,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Klaten,kabupaten,Jawa Tengah,-7.7,110.6,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Semarang,kota,Jawa Tengah,-6.9667,110.4167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Surakarta Solo,kota,Jawa Tengah,-7.5667,110.8167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Magelang,kabupaten,Jawa Tengah,-7.4833,110.2167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pekalongan,kabupaten,Jawa Tengah,-6.8833,109.6667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Semarang,kota,Jawa Tengah,-6.9667,110.4167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Wonosobo,kabupaten,Jawa Tengah,-7.3667,109.9,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Banyuwangi,kabupaten,Jawa Timur,-8.2167,114.3667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Blitar,kabupaten,Jawa Timur,-8.1,112.1667,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Jember,kabupaten,Jawa Timur,-8.17,113.7,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Batu,kota,Jawa Timur,-7.87,112.52,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Malang,kota,Jawa Timur,-7.9797,112.6304,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Surabaya,kota,Jawa Timur,-7.2575,112.7521,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Mojokerto,kabupaten,Jawa Timur,-7.47,112.43,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pacitan,kabupaten,Jawa Timur,-8.2,111.1,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Pasuruan,kabupaten,Jawa Timur,-7.6467,112.9067,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Probolinggo,kabupaten,Jawa Timur,-7.75,113.2167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Surabaya,kota,Jawa Timur,-7.2575,112.7521,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Bengkayang,kabupaten,Kalimantan Barat,0.8167,109.65,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kapuas Hulu Putussibau,kabupaten,Kalimantan Barat,0.8667,112.9333,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Ketapang,kabupaten,Kalimantan Barat,-1.85,109.9833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Pontianak,kota,Kalimantan Barat,-0.0263,109.3425,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Singkawang,kota,Kalimantan Barat,0.9,108.9833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kubu Raya,kabupaten,Kalimantan Barat,-0.15,109.3833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Landak Ngabang,kabupaten,Kalimantan Barat,0.4,109.75,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Mempawah,kabupaten,Kalimantan Barat,0.3667,108.95,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sambas,kabupaten,Kalimantan Barat,1.3667,109.3,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Sintang,kabupaten,Kalimantan Barat,0.0667,111.5,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Banjar Martapura,kabupaten,Kalimantan Selatan,-3.4167,114.9833,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Hulu Sungai Selatan Kandangan,kabupaten,Kalimantan Selatan,-2.75,115.25,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Hulu Sungai Tengah Barabai,kabupaten,Kalimantan Selatan,-2.6,115.4167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Banjarbaru,kota,Kalimantan Selatan,-3.44,114.83,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kota Banjarmasin,kota,Kalimantan Selatan,-3.3194,114.5908,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Kotabaru,kabupaten,Kalimantan Selatan,-3.25,116.2167,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
Tabalong Tanjung,kabupaten,Kalimantan Selatan,-1.9,115.5,Kemendagri Permendagri 72/2019 (daftar wilayah); BPS Statistik Indonesia; BIG referensi geospasial; koordinat pendekatan registry TravelFit (verifikasi via BIG/OpenStreetMap)
